pl_name,pl_name,t0,period,rstar,rp_rstar,a_rstar,a_rp,b,half_duration,rho_star,T_s,mstar,mass
HAT-P-14 b,HAT-P-14 b,2457138.21545,4.62767,1.82,0.0793,7.0417123505300205,87.82656164148771,0.9072,0.0456,0.62,6600.0,2.65,3.44
HAT-P-15 b,HAT-P-15 b,2454638.56094,10.8635,1.07,0.1019,19.39308693664285,190.4975582774006,0.342,0.11424999999999999,1.14,5568.0,1.0,1.94
HAT-P-16 b,HAT-P-16 b,2455027.59293,2.77596,1.24,0.1071,7.16195808805937,67.04480001180208,0.439,0.0638,1.104,6158.0,1.22,4.193
HAT-P-17 b,HAT-P-17 b,2454801.17018,10.33852,0.87,0.1238,21.799811643841725,175.77101128517873,0.311,0.08449999999999999,2.08,5246.0,0.99,0.58
HAT-P-18 b,HAT-P-18 b,2454715.02174,5.508023,0.75,0.1365,16.02706333597815,117.55921908161632,0.324,0.056549999999999996,2.94,4803.0,0.77,0.197
HAT-P-19 b,HAT-P-19 b,2455091.53417,4.008778,0.82,0.1418,12.220120066155514,86.14051327075266,0.404,0.0591,2.32555,4990.0,0.84,0.292
HAT-P-2 b,HAT-P-2 b,2455288.8491,5.6335158,1.39,0.0678,10.541216609633896,149.93035788107855,0.395,0.08935,0.434,6380.0,1.33,8.7
HAT-P-20 b,HAT-P-20 b,2455080.92661,2.875317,0.69,0.1284,11.250233072038798,87.12766391216226,0.631,0.0385,2.36,4595.0,0.76,7.246
HAT-P-21 b,HAT-P-21 b,2454996.41389,4.12448,1.21,0.095,8.778998752169466,93.12621147026844,0.546,0.0765,1.0,5588.0,1.24,4.87
HAT-P-22 b,HAT-P-22 b,2454930.22016,3.21222,1.11,0.1065,8.020118238523127,75.33043340793377,0.466,0.0598,1.16,5302.0,1.13,2.47
HAT-P-23 b,HAT-P-23 b,2454852.26548,1.21288,0.96,0.11615999999999999,5.1966104287049015,44.53787092416063,0.324,0.0411,0.92,5905.0,0.58,1.34
HAT-P-24 b,HAT-P-24 b,2455216.9766700002,3.35524,1.38,0.1,7.2472069277080955,74.86364226074785,0.189,0.07695833333333332,0.74,6373.0,1.37,0.75
HAT-P-25 b,HAT-P-25 b,2457006.91299,3.65281514,0.92,0.1269,10.891846145921217,85.91282909470664,0.347,0.058605,1.84,5519.0,1.01,0.569
HAT-P-26 b,HAT-P-26 b,2455304.6521799997,4.23452,0.87,0.0737,11.839126731746244,159.0973439259271,0.303,0.05115,2.37,5079.0,1.12,0.07
HAT-P-27 b,HAT-P-27 b,2455407.9088,3.039577,0.86,0.12,10.00149561258361,82.05929565134396,0.87,0.034999999999999996,1.99758,5316.0,0.92,0.62
HAT-P-28 b,HAT-P-28 b,2455417.59832,3.257215,1.1,0.113,8.483995960092516,74.92988654896234,0.299,0.06705,1.24374,5680.0,1.02,0.626
